start_station_name,start_lat,start_lng
Christopher St & Greenwich St,40.73291553,-74.00711384
E 22 St & 2 Ave,40.73716919369882,-73.98122549057007
Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608
Chauncey St & Malcolm X Blvd,40.680475473,-73.92823422
5 Ave & 3 St,40.6728155,-73.98352355
E 4 St & Ave B,40.72334683218016,-73.98265913128853
E 26 St & 3 Ave,40.74069317733043,-73.98160636425018
W 47 St & 9 Ave,40.76153045158114,-73.99007007479668
Freeman St & Southern Blvd,40.830158353,-73.892159462
Halsey St & Tompkins Ave,40.68232429,-73.943979621
Broadway & W 155 St,40.83299,-73.94592
61 St & Woodside Ave,40.745140672,-73.903553009
E 114 St & 1 Ave,40.794509768,-73.936090589
Alexander Ave & E 134 St,40.807287812,-73.927106142
6 Ave & W 34 St,40.749708056,-73.988172531
Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
1 Ave & E 62 St,40.7612274,-73.96094022
Park Cir & East Dr,40.651566,-73.972212
2 Ave & E 96 St,40.7839636,-73.9471673
Cathedral Pkwy & Broadway,40.804319382,-73.967020869
Riverside Dr & W 91 St,40.793144941,-73.977016687
Kenmare St & Elizabeth St,40.720522523,-73.994820833
49 Ave & 21 St,40.74252,-73.948852
E 106 St & 1 Ave,40.7892529,-73.93956237
Kent St & McGuinness Blvd,40.73124,-73.95161
Greene Ave & Grandview Ave,40.70964396,-73.907789111
Ave D & E 8 St,40.72368361,-73.97574813
W 21 St & 6 Ave,40.74173969,-73.99415556
Kosciuszko St & Nostrand Ave,40.690730095,-73.951366305
Franklin Ave & E 169 St,40.83171,-73.90208
Amsterdam Ave & W 136 St,40.819746,-73.951819
W 49 St & 8 Ave,40.76227205,-73.98788205
Congress St & Hicks St,40.689384937,-73.999399781
46 St & 28 Ave,40.763328,-73.908782
E Mosholu Pkwy & E 204 St,40.874161363,-73.883375049
43 Ave & 40 St,40.745646477,-73.924069166
21 St & 4 Ave,40.662584,-73.995554
Vesey St & Church St,40.71221958009051,-74.01047229766846
E 102 St & 1 Ave,40.7869946,-73.94164802
South St & Whitehall St,40.70118773,-74.012408257
W 35 St & 8 Ave,40.752762088742045,-73.99280458705107
Berkeley Pl & 6 Ave,40.67653,-73.978469
Pinehurst Ave & W 187 St,40.855331,-73.937878
E 82 St & East End Ave,40.7724607,-73.9468208
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
3 Ave & Schermerhorn St,40.68683208,-73.9796772
2 Ave & E 125 St,40.802554,-73.933509
W 33 St & 10 Ave,40.75377336836039,-73.99937599897385
3 Ave & 17 St,40.666168,-73.995549
Washington Ave & Greene Ave,40.68650065,-73.96563307
Adam Clayton Powell Blvd & W 151 St,40.825204849,-73.936322451
5 Ave & W 126 St,40.80722,-73.9418
Creston Ave & E 178 St,40.850885,-73.906469
Cedar St & Myrtle Ave,40.697842,-73.926241
North Moore St & Greenwich St,40.720184445,-74.010112762
Spruce St & Nassau St,40.71146364,-74.00552427
Ave A & E 11 St,40.72854745023944,-73.98175925016403
Underhill Ave & Lincoln Pl,40.673940897,-73.967182159
Stagg St & Union Ave,40.70877084,-73.95095259
E 149 St & Park Ave,40.818159938,-73.92527771
India St Pier,40.731734785883454,-73.9612390102593
Henry St & Degraw St,40.6847514,-73.99917254
Reade St & Broadway,40.714794874,-74.005862594
Willoughby Ave & Walworth St,40.693328738,-73.953926802
W 24 St & 7 Ave,40.744753838,-73.995524168
University Pl & E 8 St,40.73143724085228,-73.99490341544151
Frost St & Debevoise Ave,40.71882,-73.93948
St. Ann's Av & Bruckner Blvd,40.803399,-73.919763
E 81 St & Park Ave,40.776675105,-73.958927035
Central Park West & W 68 St,40.773462892,-73.977774978
Franklin Ave & St Marks Ave,40.6758324,-73.9561677
39 St & Queens Blvd,40.74431,-73.92601
Myrtle Ave & Fleet Pl,40.693534,-73.981909
12 Ave & W 125 St,40.818299,-73.960405
W 34 St & 11 Ave,40.75594159,-74.0021163
Bergen St & Flatbush Ave,40.681030035,-73.975760221
W 20 St & 7 Ave,40.74238787,-73.99726235
Decatur Ave & Bedford Park Blvd,40.86813,-73.88412
Featherbed Ln & Nelson Ave,40.846011,-73.919637
St James Pl & Oliver St,40.71307916,-73.99851193
Dwight St & Van Dyke St,40.673551917,-74.012076735
Broadway & Kosciuszko St,40.693530917,-73.928690672
E 95 St & 3 Ave,40.7849032,-73.950503
Amsterdam Ave & W 186 St,40.851024985,-73.928974628
St Marks Pl & 4 Ave,40.68177810928762,-73.97988975048065
Carlton Ave & Flushing Ave,40.697787,-73.973736
Bushwick Ave & McKibbin St,40.705517,-73.93936
Grand Ave & W Fordham Rd,40.862886906,-73.903177619
Johnson St & Gold St,40.69474881,-73.98362464
Washington St & Barrow St,40.73191132323174,-74.008769094944
9 Ave & W 45 St,40.76019252,-73.9912551
W 44 St & 11 Ave,40.761779189,-73.997148752
W 56 St & 10 Ave,40.768323302,-73.98884058
Vesey Pl & River Terrace,40.7153379,-74.01658354
2 Ave & E 72 St,40.7687620293096,-73.95840793848038
Broadway & W 58 St,40.76695317,-73.98169333
21 St & 43 Ave,40.75052534,-73.94594845
Carroll St & 6 Ave,40.6740886,-73.9787282
E 77 St & 3 Ave,40.77314236,-73.95856158
E 56 St & Madison Ave,40.761573,-73.972628
John St & William St,40.70862144,-74.00722156
10 St & 5 Ave,40.668662786,-73.986965895
Central Ave & Covert St,40.68929,-73.90951
W 42 St & 8 Ave,40.7575699,-73.99098507
Prospect Park West & 8 St,40.664949298,-73.976340771
E 6 St & Avenue D,40.72228087,-73.97668709
Washington Pl & Broadway,40.72903917,-73.99404649
E 10 St & Avenue A,40.72740794,-73.98142006
27 St & Hunter St,40.7485,-73.941275
W 22 St & 10 Ave,40.74691959,-74.00451887
Scholes St & Manhattan Ave,40.708663106,-73.944955587
Broadway & Roebling St,40.709261179,-73.960641623
E 12 St & Ave C,40.727243,-73.976831
Riverside Dr & W 138 St,40.823125839,-73.955886602
W 22 St & 8 Ave,40.74475148,-73.99915362
Leonard St & Nassau Ave,40.723811746,-73.949599743
59 St & 5 Ave,40.640125,-74.015726
W 84 St & Broadway,40.7867947,-73.977112
45 St & 4 Ave,40.649145,-74.009486
Wards Meadow Comfort Station,40.78294,-73.93077
Stagg St & Morgan Ave,40.710579395,-73.933691978
6 Ave & Canal St,40.72243797,-74.00566443
4 Ave & 9 St,40.6705135,-73.98876585
Broadway & E 19 St,40.73866091428551,-73.98987293243407
W 13 St & 5 Ave,40.735445,-73.99431
Lexington Ave & E 36 St,40.7475739589548,-73.9788007736206
Warren St & W Broadway,40.71473993,-74.00910627
Warren St & Court St,40.686371,-73.99383324
Van Buren St & Broadway,40.692,-73.92617
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
E 2 St & 2 Ave,40.72502876,-73.99069656
E Houston St & Columbia St,40.71978635452822,-73.97871628403664
Willoughby Ave & Hall St,40.69196035,-73.96536851
Henry St & Atlantic Ave,40.691004157,-73.996181846
21 St & 21 Ave,40.782485962,-73.914484143
W 170 St & University Ave,40.84207,-73.926075
Harrison St & Hudson St,40.71870987,-74.0090009
Columbus Ave & W 95 St,40.7919557,-73.968087
Madison Ave & E 82 St,40.778068066,-73.960808277
Lispenard St & Broadway,40.71939226,-74.00247214
E 102 St & Park Ave,40.7904828,-73.95033068
Plaza Dr & W 170 St,40.840512276,-73.917930961
West Thames St,40.70834698,-74.01713445
Broadway & Morris St,40.705945132708806,-74.01321887969969
Mercer St & Spring St,40.723796129,-73.999191523
W 89 St & Columbus Ave,40.7882213,-73.97041561
Jay St & York St,40.70140317257725,-73.98672670125961
Park Ave & E 124 St,40.8045555,-73.9396861
E 97 St & 3 Ave,40.7859201,-73.94860294
